IDENTIFICADOR;DATA;DERIVATIVO;PARTICIPANTE;LONGCONTRACTS;LONG_;SHORTCONTRACTS;SHORT_;SALDO
20042016_Dollar_Financial Institutions;20/04/2016;Dollar;Financial Institutions;1377.0;3.72;1872.0;5.06;-495.0
20042016_Dollar_Banks;20/04/2016;Dollar;Banks;1118.0;3.02;1790.0;4.84;-672.0
20042016_Dollar_Brokers & Dealers;20/04/2016;Dollar;Brokers & Dealers;171.0;0.46;79.0;0.21;92.0
20042016_Dollar_Other;20/04/2016;Dollar;Other;88.0;0.23;3.0;0.0;85.0
20042016_Dollar_Institutional Investors;20/04/2016;Dollar;Institutional Investors;23490.0;63.56;7150.0;19.34;16340.0
20042016_Dollar_Domestic;20/04/2016;Dollar;Domestic;23490.0;63.56;7150.0;19.34;16340.0
20042016_Dollar_Nonresident Investors;20/04/2016;Dollar;Nonresident Investors;7019.0;18.99;23282.0;62.99;-16263.0
20042016_Dollar_Nonresident investors - RES.2689;20/04/2016;Dollar;Nonresident investors - RES.2689;7019.0;18.99;23282.0;62.99;-16263.0
20042016_Dollar_Corporations;20/04/2016;Dollar;Corporations;936.0;2.53;1300.0;3.51;-364.0
20042016_Dollar_Individuals;20/04/2016;Dollar;Individuals;4134.0;11.18;3352.0;9.07;782.0
20042016_Dollar_Total;20/04/2016;Dollar;Total;36956.0;100.0;36956.0;100.0;0.0
22042016_Dollar_Financial Institutions;22/04/2016;Dollar;Financial Institutions;1298.0;3.26;1841.0;4.62;-543.0
22042016_Dollar_Banks;22/04/2016;Dollar;Banks;1103.0;2.77;1743.0;4.37;-640.0
22042016_Dollar_Brokers & Dealers;22/04/2016;Dollar;Brokers & Dealers;175.0;0.43;77.0;0.19;98.0
22042016_Dollar_Other;22/04/2016;Dollar;Other;20.0;0.05;21.0;0.05;-1.0
22042016_Dollar_Institutional Investors;22/04/2016;Dollar;Institutional Investors;25215.0;63.35;6998.0;17.58;18217.0
22042016_Dollar_Domestic;22/04/2016;Dollar;Domestic;25215.0;63.35;6998.0;17.58;18217.0
22042016_Dollar_Nonresident Investors;22/04/2016;Dollar;Nonresident Investors;8675.0;21.79;25970.0;65.25;-17295.0
22042016_Dollar_Nonresident investors - RES.2689;22/04/2016;Dollar;Nonresident investors - RES.2689;8675.0;21.79;25970.0;65.25;-17295.0
22042016_Dollar_Corporations;22/04/2016;Dollar;Corporations;909.0;2.28;1347.0;3.38;-438.0
22042016_Dollar_Individuals;22/04/2016;Dollar;Individuals;3701.0;9.29;3642.0;9.15;59.0
22042016_Dollar_Total;22/04/2016;Dollar;Total;39798.0;100.0;39798.0;100.0;0.0
25042016_Dollar_Financial Institutions;25/04/2016;Dollar;Financial Institutions;998.0;2.31;1796.0;4.16;-798.0
25042016_Dollar_Banks;25/04/2016;Dollar;Banks;750.0;1.73;1710.0;3.96;-960.0
25042016_Dollar_Brokers & Dealers;25/04/2016;Dollar;Brokers & Dealers;187.0;0.43;86.0;0.19;101.0
25042016_Dollar_Other;25/04/2016;Dollar;Other;61.0;0.14;0.0;0.0;61.0
25042016_Dollar_Institutional Investors;25/04/2016;Dollar;Institutional Investors;29933.0;69.42;6881.0;15.96;23052.0
25042016_Dollar_Domestic;25/04/2016;Dollar;Domestic;29933.0;69.42;6881.0;15.96;23052.0
25042016_Dollar_Nonresident Investors;25/04/2016;Dollar;Nonresident Investors;7433.0;17.24;29758.0;69.02;-22325.0
25042016_Dollar_Nonresident investors - RES.2689;25/04/2016;Dollar;Nonresident investors - RES.2689;7433.0;17.24;29758.0;69.02;-22325.0
25042016_Dollar_Corporations;25/04/2016;Dollar;Corporations;932.0;2.16;1302.0;3.01;-370.0
25042016_Dollar_Individuals;25/04/2016;Dollar;Individuals;3818.0;8.85;3377.0;7.83;441.0
25042016_Dollar_Total;25/04/2016;Dollar;Total;43114.0;100.0;43114.0;100.0;0.0
26042016_Dollar_Financial Institutions;26/04/2016;Dollar;Financial Institutions;1098.0;2.41;1798.0;3.94;-700.0
26042016_Dollar_Banks;26/04/2016;Dollar;Banks;816.0;1.79;1762.0;3.87;-946.0
26042016_Dollar_Brokers & Dealers;26/04/2016;Dollar;Brokers & Dealers;163.0;0.35;36.0;0.07;127.0
26042016_Dollar_Other;26/04/2016;Dollar;Other;119.0;0.26;0.0;0.0;119.0
26042016_Dollar_Institutional Investors;26/04/2016;Dollar;Institutional Investors;31165.0;68.45;5925.0;13.01;25240.0
26042016_Dollar_Domestic;26/04/2016;Dollar;Domestic;31165.0;68.45;5925.0;13.01;25240.0
26042016_Dollar_Nonresident Investors;26/04/2016;Dollar;Nonresident Investors;7369.0;16.18;33492.0;73.56;-26123.0
26042016_Dollar_Nonresident investors - RES.2689;26/04/2016;Dollar;Nonresident investors - RES.2689;7369.0;16.18;33492.0;73.56;-26123.0
26042016_Dollar_Corporations;26/04/2016;Dollar;Corporations;984.0;2.16;1272.0;2.79;-288.0
26042016_Dollar_Individuals;26/04/2016;Dollar;Individuals;4908.0;10.78;3037.0;6.67;1871.0
26042016_Dollar_Total;26/04/2016;Dollar;Total;45524.0;100.0;45524.0;100.0;0.0
27042016_Dollar_Financial Institutions;27/04/2016;Dollar;Financial Institutions;1466.0;3.03;2118.0;4.38;-652.0
27042016_Dollar_Banks;27/04/2016;Dollar;Banks;1146.0;2.37;2077.0;4.3;-931.0
27042016_Dollar_Brokers & Dealers;27/04/2016;Dollar;Brokers & Dealers;161.0;0.33;41.0;0.08;120.0
27042016_Dollar_Other;27/04/2016;Dollar;Other;159.0;0.32;0.0;0.0;159.0
27042016_Dollar_Institutional Investors;27/04/2016;Dollar;Institutional Investors;33488.0;69.37;6818.0;14.12;26670.0
27042016_Dollar_Domestic;27/04/2016;Dollar;Domestic;33488.0;69.37;6818.0;14.12;26670.0
27042016_Dollar_Nonresident Investors;27/04/2016;Dollar;Nonresident Investors;7398.0;15.32;34721.0;71.93;-27323.0
27042016_Dollar_Nonresident investors - RES.2689;27/04/2016;Dollar;Nonresident investors - RES.2689;7398.0;15.32;34721.0;71.93;-27323.0
27042016_Dollar_Corporations;27/04/2016;Dollar;Corporations;973.0;2.01;1296.0;2.68;-323.0
27042016_Dollar_Individuals;27/04/2016;Dollar;Individuals;4945.0;10.24;3317.0;6.87;1628.0
27042016_Dollar_Total;27/04/2016;Dollar;Total;48270.0;100.0;48270.0;100.0;0.0
28042016_Dollar_Financial Institutions;28/04/2016;Dollar;Financial Institutions;2036.0;3.83;2208.0;4.15;-172.0
28042016_Dollar_Banks;28/04/2016;Dollar;Banks;1552.0;2.92;2101.0;3.95;-549.0
28042016_Dollar_Brokers & Dealers;28/04/2016;Dollar;Brokers & Dealers;237.0;0.44;107.0;0.2;130.0
28042016_Dollar_Other;28/04/2016;Dollar;Other;247.0;0.46;0.0;0.0;247.0
28042016_Dollar_Institutional Investors;28/04/2016;Dollar;Institutional Investors;34841.0;65.56;7609.0;14.31;27232.0
28042016_Dollar_Domestic;28/04/2016;Dollar;Domestic;34841.0;65.56;7609.0;14.31;27232.0
28042016_Dollar_Nonresident Investors;28/04/2016;Dollar;Nonresident Investors;8440.0;15.88;38073.0;71.64;-29633.0
28042016_Dollar_Nonresident investors - RES.2689;28/04/2016;Dollar;Nonresident investors - RES.2689;8440.0;15.88;38073.0;71.64;-29633.0
28042016_Dollar_Corporations;28/04/2016;Dollar;Corporations;1097.0;2.06;1242.0;2.33;-145.0
28042016_Dollar_Individuals;28/04/2016;Dollar;Individuals;6728.0;12.66;4010.0;7.54;2718.0
28042016_Dollar_Total;28/04/2016;Dollar;Total;53142.0;100.0;53142.0;100.0;0.0
29042016_Dollar_Financial Institutions;29/04/2016;Dollar;Financial Institutions;1999.0;3.27;2271.0;3.72;-272.0
29042016_Dollar_Banks;29/04/2016;Dollar;Banks;1496.0;2.45;2127.0;3.48;-631.0
29042016_Dollar_Brokers & Dealers;29/04/2016;Dollar;Brokers & Dealers;259.0;0.42;114.0;0.18;145.0
29042016_Dollar_Other;29/04/2016;Dollar;Other;244.0;0.39;30.0;0.04;214.0
29042016_Dollar_Institutional Investors;29/04/2016;Dollar;Institutional Investors;35660.0;58.44;10835.0;17.75;24825.0
29042016_Dollar_Domestic;29/04/2016;Dollar;Domestic;35660.0;58.44;10835.0;17.75;24825.0
29042016_Dollar_Nonresident Investors;29/04/2016;Dollar;Nonresident Investors;10638.0;17.43;39356.0;64.5;-28718.0
29042016_Dollar_Nonresident investors - RES.2689;29/04/2016;Dollar;Nonresident investors - RES.2689;10638.0;17.43;39356.0;64.5;-28718.0
29042016_Dollar_Corporations;29/04/2016;Dollar;Corporations;1473.0;2.41;947.0;1.55;526.0
29042016_Dollar_Individuals;29/04/2016;Dollar;Individuals;11240.0;18.42;7601.0;12.45;3639.0
29042016_Dollar_Total;29/04/2016;Dollar;Total;61010.0;100.0;61010.0;100.0;0.0
02052016_Dollar_Financial Institutions;02/05/2016;Dollar;Financial Institutions;1171.0;7.24;580.0;3.58;591.0
02052016_Dollar_Banks;02/05/2016;Dollar;Banks;949.0;5.87;435.0;2.69;514.0
02052016_Dollar_Brokers & Dealers;02/05/2016;Dollar;Brokers & Dealers;203.0;1.25;45.0;0.27;158.0
02052016_Dollar_Other;02/05/2016;Dollar;Other;19.0;0.11;100.0;0.61;-81.0
02052016_Dollar_Institutional Investors;02/05/2016;Dollar;Institutional Investors;4699.0;29.07;6910.0;42.75;-2211.0
02052016_Dollar_Domestic;02/05/2016;Dollar;Domestic;4699.0;29.07;6910.0;42.75;-2211.0
02052016_Dollar_Nonresident Investors;02/05/2016;Dollar;Nonresident Investors;1220.0;7.54;5391.0;33.35;-4171.0
02052016_Dollar_Nonresident investors - RES.2689;02/05/2016;Dollar;Nonresident investors - RES.2689;1220.0;7.54;5391.0;33.35;-4171.0
02052016_Dollar_Corporations;02/05/2016;Dollar;Corporations;952.0;5.89;977.0;6.04;-25.0
02052016_Dollar_Individuals;02/05/2016;Dollar;Individuals;8119.0;50.23;2303.0;14.25;5816.0
02052016_Dollar_Total;02/05/2016;Dollar;Total;16161.0;100.0;16161.0;100.0;0.0
03052016_Dollar_Financial Institutions;03/05/2016;Dollar;Financial Institutions;1169.0;6.26;835.0;4.47;334.0
03052016_Dollar_Banks;03/05/2016;Dollar;Banks;960.0;5.14;578.0;3.09;382.0
03052016_Dollar_Brokers & Dealers;03/05/2016;Dollar;Brokers & Dealers;190.0;1.01;69.0;0.36;121.0
03052016_Dollar_Other;03/05/2016;Dollar;Other;19.0;0.1;188.0;1.0;-169.0
03052016_Dollar_Institutional Investors;03/05/2016;Dollar;Institutional Investors;4962.0;26.58;7279.0;39.0;-2317.0
03052016_Dollar_Domestic;03/05/2016;Dollar;Domestic;4962.0;26.58;7279.0;39.0;-2317.0
03052016_Dollar_Nonresident Investors;03/05/2016;Dollar;Nonresident Investors;3699.0;19.82;6868.0;36.8;-3169.0
03052016_Dollar_Nonresident investors - RES.2689;03/05/2016;Dollar;Nonresident investors - RES.2689;3699.0;19.82;6868.0;36.8;-3169.0
03052016_Dollar_Corporations;03/05/2016;Dollar;Corporations;927.0;4.96;979.0;5.24;-52.0
03052016_Dollar_Individuals;03/05/2016;Dollar;Individuals;7905.0;42.35;2701.0;14.47;5204.0
03052016_Dollar_Total;03/05/2016;Dollar;Total;18662.0;100.0;18662.0;100.0;0.0
04052016_Dollar_Financial Institutions;04/05/2016;Dollar;Financial Institutions;1405.0;6.38;852.0;3.87;553.0
04052016_Dollar_Banks;04/05/2016;Dollar;Banks;1199.0;5.45;604.0;2.74;595.0
04052016_Dollar_Brokers & Dealers;04/05/2016;Dollar;Brokers & Dealers;186.0;0.84;86.0;0.39;100.0
04052016_Dollar_Other;04/05/2016;Dollar;Other;20.0;0.09;162.0;0.73;-142.0
04052016_Dollar_Institutional Investors;04/05/2016;Dollar;Institutional Investors;8028.0;36.49;5746.0;26.12;2282.0
04052016_Dollar_Domestic;04/05/2016;Dollar;Domestic;8028.0;36.49;5746.0;26.12;2282.0
04052016_Dollar_Nonresident Investors;04/05/2016;Dollar;Nonresident Investors;3379.0;15.36;11877.0;53.99;-8498.0
04052016_Dollar_Nonresident investors - RES.2689;04/05/2016;Dollar;Nonresident investors - RES.2689;3379.0;15.36;11877.0;53.99;-8498.0
04052016_Dollar_Corporations;04/05/2016;Dollar;Corporations;857.0;3.89;987.0;4.48;-130.0
04052016_Dollar_Individuals;04/05/2016;Dollar;Individuals;8326.0;37.85;2533.0;11.51;5793.0
04052016_Dollar_Total;04/05/2016;Dollar;Total;21995.0;100.0;21995.0;100.0;0.0
05052016_Dollar_Financial Institutions;05/05/2016;Dollar;Financial Institutions;1473.0;6.77;661.0;3.03;812.0
05052016_Dollar_Banks;05/05/2016;Dollar;Banks;1290.0;5.93;421.0;1.93;869.0
05052016_Dollar_Brokers & Dealers;05/05/2016;Dollar;Brokers & Dealers;163.0;0.74;74.0;0.34;89.0
05052016_Dollar_Other;05/05/2016;Dollar;Other;20.0;0.09;166.0;0.76;-146.0
05052016_Dollar_Institutional Investors;05/05/2016;Dollar;Institutional Investors;8895.0;40.9;5220.0;24.0;3675.0
05052016_Dollar_Domestic;05/05/2016;Dollar;Domestic;8895.0;40.9;5220.0;24.0;3675.0
05052016_Dollar_Nonresident Investors;05/05/2016;Dollar;Nonresident Investors;3565.0;16.39;12452.0;57.25;-8887.0
05052016_Dollar_Nonresident investors - RES.2689;05/05/2016;Dollar;Nonresident investors - RES.2689;3565.0;16.39;12452.0;57.25;-8887.0
05052016_Dollar_Corporations;05/05/2016;Dollar;Corporations;815.0;3.74;1023.0;4.7;-208.0
05052016_Dollar_Individuals;05/05/2016;Dollar;Individuals;7000.0;32.18;2392.0;10.99;4608.0
05052016_Dollar_Total;05/05/2016;Dollar;Total;21748.0;100.0;21748.0;100.0;0.0
06052016_Dollar_Financial Institutions;06/05/2016;Dollar;Financial Institutions;1628.0;5.5;405.0;1.36;1223.0
06052016_Dollar_Banks;06/05/2016;Dollar;Banks;1440.0;4.86;205.0;0.69;1235.0
06052016_Dollar_Brokers & Dealers;06/05/2016;Dollar;Brokers & Dealers;168.0;0.56;72.0;0.24;96.0
06052016_Dollar_Other;06/05/2016;Dollar;Other;20.0;0.06;128.0;0.43;-108.0
06052016_Dollar_Institutional Investors;06/05/2016;Dollar;Institutional Investors;13298.0;44.96;4940.0;16.7;8358.0
06052016_Dollar_Domestic;06/05/2016;Dollar;Domestic;13298.0;44.96;4940.0;16.7;8358.0
06052016_Dollar_Nonresident Investors;06/05/2016;Dollar;Nonresident Investors;5122.0;17.31;21668.0;73.26;-16546.0
06052016_Dollar_Nonresident investors - RES.2689;06/05/2016;Dollar;Nonresident investors - RES.2689;5122.0;17.31;21668.0;73.26;-16546.0
06052016_Dollar_Corporations;06/05/2016;Dollar;Corporations;939.0;3.17;982.0;3.32;-43.0
06052016_Dollar_Individuals;06/05/2016;Dollar;Individuals;8589.0;29.04;1581.0;5.34;7008.0
06052016_Dollar_Total;06/05/2016;Dollar;Total;29576.0;100.0;29576.0;100.0;0.0
09052016_Dollar_Financial Institutions;09/05/2016;Dollar;Financial Institutions;1788.0;5.76;635.0;2.04;1153.0
09052016_Dollar_Banks;09/05/2016;Dollar;Banks;1586.0;5.11;415.0;1.33;1171.0
09052016_Dollar_Brokers & Dealers;09/05/2016;Dollar;Brokers & Dealers;182.0;0.58;71.0;0.22;111.0
09052016_Dollar_Other;09/05/2016;Dollar;Other;20.0;0.06;149.0;0.48;-129.0
09052016_Dollar_Institutional Investors;09/05/2016;Dollar;Institutional Investors;14565.0;46.93;5294.0;17.06;9271.0
09052016_Dollar_Domestic;09/05/2016;Dollar;Domestic;14565.0;46.93;5294.0;17.06;9271.0
09052016_Dollar_Nonresident Investors;09/05/2016;Dollar;Nonresident Investors;6467.0;20.84;22052.0;71.06;-15585.0
09052016_Dollar_Nonresident investors - RES.2689;09/05/2016;Dollar;Nonresident investors - RES.2689;6467.0;20.84;22052.0;71.06;-15585.0
09052016_Dollar_Corporations;09/05/2016;Dollar;Corporations;897.0;2.89;1019.0;3.28;-122.0
09052016_Dollar_Individuals;09/05/2016;Dollar;Individuals;7314.0;23.56;2031.0;6.54;5283.0
09052016_Dollar_Total;09/05/2016;Dollar;Total;31031.0;100.0;31031.0;100.0;0.0
10052016_Dollar_Financial Institutions;10/05/2016;Dollar;Financial Institutions;1429.0;3.99;739.0;2.06;690.0
10052016_Dollar_Banks;10/05/2016;Dollar;Banks;1199.0;3.35;516.0;1.44;683.0
10052016_Dollar_Brokers & Dealers;10/05/2016;Dollar;Brokers & Dealers;210.0;0.58;83.0;0.23;127.0
10052016_Dollar_Other;10/05/2016;Dollar;Other;20.0;0.05;140.0;0.39;-120.0
10052016_Dollar_Institutional Investors;10/05/2016;Dollar;Institutional Investors;17969.0;50.21;4811.0;13.44;13158.0
10052016_Dollar_Domestic;10/05/2016;Dollar;Domestic;17969.0;50.21;4811.0;13.44;13158.0
10052016_Dollar_Nonresident Investors;10/05/2016;Dollar;Nonresident Investors;6943.0;19.4;27488.0;76.82;-20545.0
10052016_Dollar_Nonresident investors - RES.2689;10/05/2016;Dollar;Nonresident investors - RES.2689;6943.0;19.4;27488.0;76.82;-20545.0
10052016_Dollar_Corporations;10/05/2016;Dollar;Corporations;1035.0;2.89;1041.0;2.9;-6.0
10052016_Dollar_Individuals;10/05/2016;Dollar;Individuals;8405.0;23.49;1702.0;4.75;6703.0
10052016_Dollar_Total;10/05/2016;Dollar;Total;35781.0;100.0;35781.0;100.0;0.0
11052016_Dollar_Financial Institutions;11/05/2016;Dollar;Financial Institutions;1586.0;3.94;788.0;1.96;798.0
11052016_Dollar_Banks;11/05/2016;Dollar;Banks;1233.0;3.06;578.0;1.43;655.0
11052016_Dollar_Brokers & Dealers;11/05/2016;Dollar;Brokers & Dealers;307.0;0.76;68.0;0.16;239.0
11052016_Dollar_Other;11/05/2016;Dollar;Other;46.0;0.11;142.0;0.35;-96.0
11052016_Dollar_Institutional Investors;11/05/2016;Dollar;Institutional Investors;21000.0;52.27;5089.0;12.66;15911.0
11052016_Dollar_Domestic;11/05/2016;Dollar;Domestic;21000.0;52.27;5089.0;12.66;15911.0
11052016_Dollar_Nonresident Investors;11/05/2016;Dollar;Nonresident Investors;6872.0;17.1;31565.0;78.57;-24693.0
11052016_Dollar_Nonresident investors - RES.2689;11/05/2016;Dollar;Nonresident investors - RES.2689;6872.0;17.1;31565.0;78.57;-24693.0
11052016_Dollar_Corporations;11/05/2016;Dollar;Corporations;1046.0;2.6;1155.0;2.87;-109.0
11052016_Dollar_Individuals;11/05/2016;Dollar;Individuals;9670.0;24.07;1577.0;3.92;8093.0
11052016_Dollar_Total;11/05/2016;Dollar;Total;40174.0;100.0;40174.0;100.0;0.0
12052016_Dollar_Financial Institutions;12/05/2016;Dollar;Financial Institutions;1406.0;3.59;891.0;2.27;515.0
12052016_Dollar_Banks;12/05/2016;Dollar;Banks;1236.0;3.16;650.0;1.66;586.0
12052016_Dollar_Brokers & Dealers;12/05/2016;Dollar;Brokers & Dealers;127.0;0.32;66.0;0.16;61.0
12052016_Dollar_Other;12/05/2016;Dollar;Other;43.0;0.1;175.0;0.44;-132.0
12052016_Dollar_Institutional Investors;12/05/2016;Dollar;Institutional Investors;20596.0;52.67;5001.0;12.78;15595.0
12052016_Dollar_Domestic;12/05/2016;Dollar;Domestic;20596.0;52.67;5001.0;12.78;15595.0
12052016_Dollar_Nonresident Investors;12/05/2016;Dollar;Nonresident Investors;7378.0;18.86;28824.0;73.71;-21446.0
12052016_Dollar_Nonresident investors - RES.2689;12/05/2016;Dollar;Nonresident investors - RES.2689;7378.0;18.86;28824.0;73.71;-21446.0
12052016_Dollar_Corporations;12/05/2016;Dollar;Corporations;816.0;2.08;1226.0;3.13;-410.0
12052016_Dollar_Individuals;12/05/2016;Dollar;Individuals;8906.0;22.77;3160.0;8.08;5746.0
12052016_Dollar_Total;12/05/2016;Dollar;Total;39102.0;100.0;39102.0;100.0;0.0
13052016_Dollar_Financial Institutions;13/05/2016;Dollar;Financial Institutions;1505.0;3.47;968.0;2.23;537.0
13052016_Dollar_Banks;13/05/2016;Dollar;Banks;1331.0;3.07;658.0;1.51;673.0
13052016_Dollar_Brokers & Dealers;13/05/2016;Dollar;Brokers & Dealers;127.0;0.29;71.0;0.16;56.0
13052016_Dollar_Other;13/05/2016;Dollar;Other;47.0;0.1;239.0;0.55;-192.0
13052016_Dollar_Institutional Investors;13/05/2016;Dollar;Institutional Investors;22553.0;52.08;4748.0;10.96;17805.0
13052016_Dollar_Domestic;13/05/2016;Dollar;Domestic;22553.0;52.08;4748.0;10.96;17805.0
13052016_Dollar_Nonresident Investors;13/05/2016;Dollar;Nonresident Investors;9350.0;21.59;32497.0;75.05;-23147.0
13052016_Dollar_Nonresident investors - RES.2689;13/05/2016;Dollar;Nonresident investors - RES.2689;9350.0;21.59;32497.0;75.05;-23147.0
13052016_Dollar_Corporations;13/05/2016;Dollar;Corporations;739.0;1.7;1360.0;3.14;-621.0
13052016_Dollar_Individuals;13/05/2016;Dollar;Individuals;9152.0;21.13;3726.0;8.6;5426.0
13052016_Dollar_Total;13/05/2016;Dollar;Total;43299.0;100.0;43299.0;100.0;0.0
16052016_Dollar_Financial Institutions;16/05/2016;Dollar;Financial Institutions;1532.0;3.45;982.0;2.21;550.0
16052016_Dollar_Banks;16/05/2016;Dollar;Banks;1378.0;3.1;747.0;1.68;631.0
16052016_Dollar_Brokers & Dealers;16/05/2016;Dollar;Brokers & Dealers;119.0;0.26;76.0;0.17;43.0
16052016_Dollar_Other;16/05/2016;Dollar;Other;35.0;0.07;159.0;0.35;-124.0
16052016_Dollar_Institutional Investors;16/05/2016;Dollar;Institutional Investors;24647.0;55.52;4720.0;10.63;19927.0
16052016_Dollar_Domestic;16/05/2016;Dollar;Domestic;24647.0;55.52;4720.0;10.63;19927.0
16052016_Dollar_Nonresident Investors;16/05/2016;Dollar;Nonresident Investors;7350.0;16.55;34709.0;78.18;-27359.0
16052016_Dollar_Nonresident investors - RES.2689;16/05/2016;Dollar;Nonresident investors - RES.2689;7350.0;16.55;34709.0;78.18;-27359.0
16052016_Dollar_Corporations;16/05/2016;Dollar;Corporations;788.0;1.77;1250.0;2.81;-462.0
16052016_Dollar_Individuals;16/05/2016;Dollar;Individuals;10076.0;22.69;2732.0;6.15;7344.0
16052016_Dollar_Total;16/05/2016;Dollar;Total;44393.0;100.0;44393.0;100.0;0.0
17052016_Dollar_Financial Institutions;17/05/2016;Dollar;Financial Institutions;1564.0;3.77;1171.0;2.82;393.0
17052016_Dollar_Banks;17/05/2016;Dollar;Banks;1416.0;3.41;920.0;2.22;496.0
17052016_Dollar_Brokers & Dealers;17/05/2016;Dollar;Brokers & Dealers;123.0;0.29;67.0;0.16;56.0
17052016_Dollar_Other;17/05/2016;Dollar;Other;25.0;0.06;184.0;0.44;-159.0
17052016_Dollar_Institutional Investors;17/05/2016;Dollar;Institutional Investors;23206.0;56.0;5800.0;13.99;17406.0
17052016_Dollar_Domestic;17/05/2016;Dollar;Domestic;23206.0;56.0;5800.0;13.99;17406.0
17052016_Dollar_Nonresident Investors;17/05/2016;Dollar;Nonresident Investors;6162.0;14.87;31112.0;75.08;-24950.0
17052016_Dollar_Nonresident investors - RES.2689;17/05/2016;Dollar;Nonresident investors - RES.2689;6162.0;14.87;31112.0;75.08;-24950.0
17052016_Dollar_Corporations;17/05/2016;Dollar;Corporations;774.0;1.86;1340.0;3.23;-566.0
17052016_Dollar_Individuals;17/05/2016;Dollar;Individuals;9727.0;23.47;2010.0;4.85;7717.0
17052016_Dollar_Total;17/05/2016;Dollar;Total;41433.0;100.0;41433.0;100.0;0.0
18052016_Dollar_Financial Institutions;18/05/2016;Dollar;Financial Institutions;1707.0;3.84;1315.0;2.96;392.0
18052016_Dollar_Banks;18/05/2016;Dollar;Banks;1503.0;3.38;1028.0;2.31;475.0
18052016_Dollar_Brokers & Dealers;18/05/2016;Dollar;Brokers & Dealers;135.0;0.3;60.0;0.13;75.0
18052016_Dollar_Other;18/05/2016;Dollar;Other;69.0;0.15;227.0;0.51;-158.0
18052016_Dollar_Institutional Investors;18/05/2016;Dollar;Institutional Investors;22311.0;50.3;7172.0;16.17;15139.0
18052016_Dollar_Domestic;18/05/2016;Dollar;Domestic;22311.0;50.3;7172.0;16.17;15139.0
18052016_Dollar_Nonresident Investors;18/05/2016;Dollar;Nonresident Investors;10808.0;24.36;31530.0;71.09;-20722.0
18052016_Dollar_Nonresident investors - RES.2689;18/05/2016;Dollar;Nonresident investors - RES.2689;10808.0;24.36;31530.0;71.09;-20722.0
18052016_Dollar_Corporations;18/05/2016;Dollar;Corporations;601.0;1.35;1440.0;3.24;-839.0
18052016_Dollar_Individuals;18/05/2016;Dollar;Individuals;8924.0;20.12;2894.0;6.52;6030.0
18052016_Dollar_Total;18/05/2016;Dollar;Total;44351.0;100.0;44351.0;100.0;0.0
19052016_Dollar_Financial Institutions;19/05/2016;Dollar;Financial Institutions;1703.0;3.71;1666.0;3.63;37.0
19052016_Dollar_Banks;19/05/2016;Dollar;Banks;1479.0;3.22;1392.0;3.03;87.0
19052016_Dollar_Brokers & Dealers;19/05/2016;Dollar;Brokers & Dealers;129.0;0.28;60.0;0.13;69.0
19052016_Dollar_Other;19/05/2016;Dollar;Other;95.0;0.2;214.0;0.46;-119.0
19052016_Dollar_Institutional Investors;19/05/2016;Dollar;Institutional Investors;23986.0;52.26;7766.0;16.92;16220.0
19052016_Dollar_Domestic;19/05/2016;Dollar;Domestic;23986.0;52.26;7766.0;16.92;16220.0
19052016_Dollar_Nonresident Investors;19/05/2016;Dollar;Nonresident Investors;10450.0;22.76;32479.0;70.76;-22029.0
19052016_Dollar_Nonresident investors - RES.2689;19/05/2016;Dollar;Nonresident investors - RES.2689;10450.0;22.76;32479.0;70.76;-22029.0
19052016_Dollar_Corporations;19/05/2016;Dollar;Corporations;697.0;1.51;1406.0;3.06;-709.0
19052016_Dollar_Individuals;19/05/2016;Dollar;Individuals;9058.0;19.73;2577.0;5.61;6481.0
19052016_Dollar_Total;19/05/2016;Dollar;Total;45894.0;100.0;45894.0;100.0;0.0
20052016_Dollar_Financial Institutions;20/05/2016;Dollar;Financial Institutions;1713.0;3.51;1870.0;3.84;-157.0
20052016_Dollar_Banks;20/05/2016;Dollar;Banks;1448.0;2.97;1562.0;3.2;-114.0
20052016_Dollar_Brokers & Dealers;20/05/2016;Dollar;Brokers & Dealers;144.0;0.29;59.0;0.12;85.0
20052016_Dollar_Other;20/05/2016;Dollar;Other;121.0;0.24;249.0;0.51;-128.0
20052016_Dollar_Institutional Investors;20/05/2016;Dollar;Institutional Investors;24145.0;49.6;8063.0;16.56;16082.0
20052016_Dollar_Domestic;20/05/2016;Dollar;Domestic;24145.0;49.6;8063.0;16.56;16082.0
20052016_Dollar_Nonresident Investors;20/05/2016;Dollar;Nonresident Investors;11980.0;24.61;35526.0;72.99;-23546.0
20052016_Dollar_Nonresident investors - RES.2689;20/05/2016;Dollar;Nonresident investors - RES.2689;11980.0;24.61;35526.0;72.99;-23546.0
20052016_Dollar_Corporations;20/05/2016;Dollar;Corporations;806.0;1.65;1341.0;2.75;-535.0
20052016_Dollar_Individuals;20/05/2016;Dollar;Individuals;10026.0;20.59;1870.0;3.84;8156.0
20052016_Dollar_Total;20/05/2016;Dollar;Total;48670.0;100.0;48670.0;100.0;0.0
23052016_Dollar_Financial Institutions;23/05/2016;Dollar;Financial Institutions;1822.0;3.51;2447.0;4.72;-625.0
23052016_Dollar_Banks;23/05/2016;Dollar;Banks;1529.0;2.95;2017.0;3.89;-488.0
23052016_Dollar_Brokers & Dealers;23/05/2016;Dollar;Brokers & Dealers;148.0;0.28;63.0;0.12;85.0
